,Entry ID,Jurisdiction,health_region,Date announced,Date implemented,Intervention category,Intervention type,Intervention summary,"Primary source
(news release or specific resource)",Secondary source,Level,"Indigenous 
population group",Industry
13,AB171,Alta.,Edmonton,,2020-12-13 00:00:00,Closures,Closures - non-essential services,"What: Effective Dec. 13, some businesses are required to temporarily close, reduce capacity or limit their in-person access. All restaurants, pubs, bars, lounges and cafes are closed to in-person service. All entertainment businesses and entities must close, including:
Casinos, bingo halls, gaming centres, Racing centres, horse tracks, raceways, Bowling alleys, pool halls, Legions and private clubs (nightclubs must remain closed), Art galleries, libraries and museums, Science and interpretive centres, Amusement and water parks, Children’s play centres and indoor playgrounds, Movie theatres, auditoria and concert halls, Banquet halls, conference centres and trade shows, All indoor recreation facilities must close, including: Gyms and studios, Fitness and recreation centres, Spas, pools, indoor rinks and arenas, Day and overnight camps, Community halls and centres. All personal and wellness services must close. Group physical activities, including team sports, fitness classes and training sessions, are prohibited or restricted across Alberta.
",https://www.alberta.ca/enhanced-public-health-measures.aspx,https://open.alberta.ca/dataset/4cccb47f-c26a-40bf-b95e-caaf04892164/resource/3a7a124f-1d12-485b-b7b1-09bddf61f29e/download/health-cmoh-record-of-decision-cmoh-order-42-2020.pdf,Provincial/territorial,No,Restaurants & eating places; Nightlife; Fitness; Personal care
14,AB171,Alta.,Calgary,,2020-12-13 00:00:00,Closures,Closures - non-essential services,"What: Effective Dec. 13, some businesses are required to temporarily close, reduce capacity or limit their in-person access. All restaurants, pubs, bars, lounges and cafes are closed to in-person service. All entertainment businesses and entities must close, including:
Casinos, bingo halls, gaming centres, Racing centres, horse tracks, raceways, Bowling alleys, pool halls, Legions and private clubs (nightclubs must remain closed), Art galleries, libraries and museums, Science and interpretive centres, Amusement and water parks, Children’s play centres and indoor playgrounds, Movie theatres, auditoria and concert halls, Banquet halls, conference centres and trade shows, All indoor recreation facilities must close, including: Gyms and studios, Fitness and recreation centres, Spas, pools, indoor rinks and arenas, Day and overnight camps, Community halls and centres. All personal and wellness services must close. Group physical activities, including team sports, fitness classes and training sessions, are prohibited or restricted across Alberta.
",https://www.alberta.ca/enhanced-public-health-measures.aspx,https://open.alberta.ca/dataset/4cccb47f-c26a-40bf-b95e-caaf04892164/resource/3a7a124f-1d12-485b-b7b1-09bddf61f29e/download/health-cmoh-record-of-decision-cmoh-order-42-2020.pdf,Provincial/territorial,No,Restaurants & eating places; Nightlife; Fitness; Personal care
15,AB171,Alta.,Central Zone,,2020-12-13 00:00:00,Closures,Closures - non-essential services,"What: Effective Dec. 13, some businesses are required to temporarily close, reduce capacity or limit their in-person access. All restaurants, pubs, bars, lounges and cafes are closed to in-person service. All entertainment businesses and entities must close, including:
Casinos, bingo halls, gaming centres, Racing centres, horse tracks, raceways, Bowling alleys, pool halls, Legions and private clubs (nightclubs must remain closed), Art galleries, libraries and museums, Science and interpretive centres, Amusement and water parks, Children’s play centres and indoor playgrounds, Movie theatres, auditoria and concert halls, Banquet halls, conference centres and trade shows, All indoor recreation facilities must close, including: Gyms and studios, Fitness and recreation centres, Spas, pools, indoor rinks and arenas, Day and overnight camps, Community halls and centres. All personal and wellness services must close. Group physical activities, including team sports, fitness classes and training sessions, are prohibited or restricted across Alberta.
",https://www.alberta.ca/enhanced-public-health-measures.aspx,https://open.alberta.ca/dataset/4cccb47f-c26a-40bf-b95e-caaf04892164/resource/3a7a124f-1d12-485b-b7b1-09bddf61f29e/download/health-cmoh-record-of-decision-cmoh-order-42-2020.pdf,Provincial/territorial,No,Restaurants & eating places; Nightlife; Fitness; Personal care
16,AB180,Alta.,Calgary,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Permitted indoor hot tubs, dry saunas and steam saunas to open with cleaning and distancing restrictions
Effective until:",https://www.alberta.ca/release.cfm?xID=73203C5903015-971C-3208-AD6973D3D2071F51,Not applicable,Provincial/territorial,No,
17,AB180,Alta.,Edmonton,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Permitted indoor hot tubs, dry saunas and steam saunas to open with cleaning and distancing restrictions
Effective until:",https://www.alberta.ca/release.cfm?xID=73203C5903015-971C-3208-AD6973D3D2071F51,Not applicable,Provincial/territorial,No,Personal care
18,AB180,Alta.,Central Zone,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Permitted indoor hot tubs, dry saunas and steam saunas to open with cleaning and distancing restrictions
Effective until:",https://www.alberta.ca/release.cfm?xID=73203C5903015-971C-3208-AD6973D3D2071F51,Not applicable,Provincial/territorial,No,Personal care
19,AB181,Alta.,Calgary,2020-09-11 00:00:00,2020-09-11 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated guidelines to permit limited band practices, singing and wind instrument concerts with rigorous and proper precautions
Effective until:",https://www.alberta.ca/release.cfm?xID=73213F82F645E-F190-0856-E75D6CCD43FB449A,https://open.alberta.ca/publications/covid-19-information-guidance-for-live-instrumental-music#summary,Provincial/territorial,No,
20,AB181,Alta.,Edmonton,2020-09-11 00:00:00,2020-09-11 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated guidelines to permit limited band practices, singing and wind instrument concerts with rigorous and proper precautions
Effective until:",https://www.alberta.ca/release.cfm?xID=73213F82F645E-F190-0856-E75D6CCD43FB449A,https://open.alberta.ca/publications/covid-19-information-guidance-for-live-instrumental-music#summary,Provincial/territorial,No,
21,AB181,Alta.,Central Zone,2020-09-11 00:00:00,2020-09-11 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated guidelines to permit limited band practices, singing and wind instrument concerts with rigorous and proper precautions
Effective until:",https://www.alberta.ca/release.cfm?xID=73213F82F645E-F190-0856-E75D6CCD43FB449A,https://open.alberta.ca/publications/covid-19-information-guidance-for-live-instrumental-music#summary,Provincial/territorial,No,
22,AB183,Alta.,Calgary,2020-08-20 00:00:00,2020-08-20 00:00:00,Policy,Openings - education,"Who: Government of Alberta
What: Published resource tool kit with guidance for schools on re-entry Scenario 1 (in-person learning), COVID-19 outbreaks in school, school re-entry guidance and a fact sheet; face masks required when distancing cannot be maintained and students are outside of their cohort; physical distancing prioritized, encouraged cohort guidelines if physical distancing not possible; extra cleaning in place
Effective until:",https://www.alberta.ca/k-to-12-school-re-entry-2020-21-school-year.aspx,Not applicable,Provincial/territorial,No,
23,AB183,Alta.,Edmonton,2020-08-20 00:00:00,2020-08-20 00:00:00,Policy,Openings - education,"Who: Government of Alberta
What: Published resource tool kit with guidance for schools on re-entry Scenario 1 (in-person learning), COVID-19 outbreaks in school, school re-entry guidance and a fact sheet; face masks required when distancing cannot be maintained and students are outside of their cohort; physical distancing prioritized, encouraged cohort guidelines if physical distancing not possible; extra cleaning in place
Effective until:",https://www.alberta.ca/k-to-12-school-re-entry-2020-21-school-year.aspx,Not applicable,Provincial/territorial,No,
24,BC175,B.C.,Interior,2020-07-22 00:00:00,2020-07-22 00:00:00,Policy,Openings - non-essential services,"Who: Government of British Columbia
What: Amended conditions to ensure that all restaurant and bar patrons are seated at a designated seat; no liquor self-service or dancing; measures need to be in place to reduce lineups and gathering outside 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0231-001356,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-nightclubs-food-drink.pdf,Provincial/territorial,No,
25,BC175,B.C.,Island,2020-07-22 00:00:00,2020-07-22 00:00:00,Policy,Openings - non-essential services,"Who: Government of British Columbia
What: Amended conditions to ensure that all restaurant and bar patrons are seated at a designated seat; no liquor self-service or dancing; measures need to be in place to reduce lineups and gathering outside 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0231-001356,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-nightclubs-food-drink.pdf,Provincial/territorial,No,
26,BC175,B.C.,Fraser,2020-07-22 00:00:00,2020-07-22 00:00:00,Policy,Openings - non-essential services,"Who: Government of British Columbia
What: Amended conditions to ensure that all restaurant and bar patrons are seated at a designated seat; no liquor self-service or dancing; measures need to be in place to reduce lineups and gathering outside 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0231-001356,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-nightclubs-food-drink.pdf,Provincial/territorial,No,
27,BC175,B.C.,Vancouver Coastal,2020-07-22 00:00:00,2020-07-22 00:00:00,Policy,Openings - non-essential services,"Who: Government of British Columbia
What: Amended conditions to ensure that all restaurant and bar patrons are seated at a designated seat; no liquor self-service or dancing; measures need to be in place to reduce lineups and gathering outside 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0231-001356,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-nightclubs-food-drink.pdf,Provincial/territorial,No,
28,BC177,B.C.,Interior,2020-07-29 00:00:00,2020-07-29 00:00:00,Policy,Openings - education,"Who: Ministry of Education
What: Released plan and safety guidance, entitled ""B.C.'s Back to School Plan,"" for reopening elementary, middle and high schools in the fall
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0040-001415,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No,
29,BC177,B.C.,Island,2020-07-29 00:00:00,2020-07-29 00:00:00,Policy,Openings - education,"Who: Ministry of Education
What: Released plan and safety guidance, entitled ""B.C.'s Back to School Plan,"" for reopening elementary, middle and high schools in the fall
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0040-001415,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No,
30,BC177,B.C.,Fraser,2020-07-29 00:00:00,2020-07-29 00:00:00,Policy,Openings - education,"Who: Ministry of Education
What: Released plan and safety guidance, entitled ""B.C.'s Back to School Plan,"" for reopening elementary, middle and high schools in the fall
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0040-001415,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No,
31,BC177,B.C.,Vancouver Coastal,2020-07-29 00:00:00,2020-07-29 00:00:00,Policy,Openings - education,"Who: Ministry of Education
What: Released plan and safety guidance, entitled ""B.C.'s Back to School Plan,"" for reopening elementary, middle and high schools in the fall
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0040-001415,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No,
32,BC178,B.C.,Vancouver Coastal,2020-11-07 00:00:00,2020-11-07 00:00:00,Closures,Closures - recreation,"What: Indoor group exercises, sports and competitions, recreation centres, restrictions to social gatherings and non-essential travel. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-vch-fh.pdf,https://www.timescolonist.com/b-c-imposes-two-week-covid-restrictions-in-metro-vancouver-health-regions-1.24235161,Regional,No,Fitness
33,BC179,B.C.,Interior,,2020-11-19 00:00:00,Closures,Closures - recreation,"What: Galas, musical theatre performances, seasonal activities including indoor and outdoor holiday events, silent auctions, movie viewings in cinemas. Businesses, recreation centres or other organizations that organize or operate high risk indoor group physical activities must suspend the following activities: spin, yoga, HIIT. Venues that organize or operate other types of indoor group physical activities must suspend them temporarily while new guidance is being developed. These include: dance studios, gymnastics, cheerleading, martial arts, pilates, strength and conditioning. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-gatherings-events.pdf,Provincial/territorial,No,Clothing stores; General merchandise stores; Home good stores
34,BC179,B.C.,Island,,2020-11-19 00:00:00,Closures,Closures - recreation,"What: Galas, musical theatre performances, seasonal activities including indoor and outdoor holiday events, silent auctions, movie viewings in cinemas. Businesses, recreation centres or other organizations that organize or operate high risk indoor group physical activities must suspend the following activities: spin, yoga, HIIT. Venues that organize or operate other types of indoor group physical activities must suspend them temporarily while new guidance is being developed. These include: dance studios, gymnastics, cheerleading, martial arts, pilates, strength and conditioning. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-gatherings-events.pdf,Provincial/territorial,No,Clothing stores; General merchandise stores; Home good stores
35,BC179,B.C.,Fraser,,2020-11-19 00:00:00,Closures,Closures - recreation,"What: Galas, musical theatre performances, seasonal activities including indoor and outdoor holiday events, silent auctions, movie viewings in cinemas. Businesses, recreation centres or other organizations that organize or operate high risk indoor group physical activities must suspend the following activities: spin, yoga, HIIT. Venues that organize or operate other types of indoor group physical activities must suspend them temporarily while new guidance is being developed. These include: dance studios, gymnastics, cheerleading, martial arts, pilates, strength and conditioning. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-gatherings-events.pdf,Provincial/territorial,No,Clothing stores; General merchandise stores; Home good stores
36,BC179,B.C.,Vancouver Coastal,,2020-11-19 00:00:00,Closures,Closures - recreation,"What: Galas, musical theatre performances, seasonal activities including indoor and outdoor holiday events, silent auctions, movie viewings in cinemas. Businesses, recreation centres or other organizations that organize or operate high risk indoor group physical activities must suspend the following activities: spin, yoga, HIIT. Venues that organize or operate other types of indoor group physical activities must suspend them temporarily while new guidance is being developed. These include: dance studios, gymnastics, cheerleading, martial arts, pilates, strength and conditioning. Effective until: Dec 7, 2020.",https://www2.gov.bc.ca/gov/content/safety/emergency-preparedness-response-recovery/covid-19-provincial-support/restrictions,https://www2.gov.bc.ca/assets/gov/health/about-bc-s-health-care-system/office-of-the-provincial-health-officer/covid-19/covid-19-pho-order-gatherings-events.pdf,Provincial/territorial,No,Clothing stores; General merchandise stores; Home good stores
37,BC194,B.C.,Interior,2020-08-17 00:00:00,2020-08-17 00:00:00,Policy,Openings - education,"Who: Ministry of Education
What: Updated operational guidelines for school districts to ensure a consistent province-wide approach to keep schools safe. Masks are required for staff, middle and secondary students in high-traffic areas such as buses and in common areas such as hallways, or anytime outside of their learning group whenever physical distancing cannot be maintained. Elementary school students are not required to wear masks. Additional safety measures include setting up classrooms to promote spacing between students and practising physical distancing outside of learning groups. 
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0045-001542,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No,
38,BC194,B.C.,Island,2020-08-17 00:00:00,2020-08-17 00:00:00,Policy,Openings - education,"Who: Ministry of Education
What: Updated operational guidelines for school districts to ensure a consistent province-wide approach to keep schools safe. Masks are required for staff, middle and secondary students in high-traffic areas such as buses and in common areas such as hallways, or anytime outside of their learning group whenever physical distancing cannot be maintained. Elementary school students are not required to wear masks. Additional safety measures include setting up classrooms to promote spacing between students and practising physical distancing outside of learning groups. 
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0045-001542,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No,
39,BC194,B.C.,Fraser,2020-08-17 00:00:00,2020-08-17 00:00:00,Policy,Openings - education,"Who: Ministry of Education
What: Updated operational guidelines for school districts to ensure a consistent province-wide approach to keep schools safe. Masks are required for staff, middle and secondary students in high-traffic areas such as buses and in common areas such as hallways, or anytime outside of their learning group whenever physical distancing cannot be maintained. Elementary school students are not required to wear masks. Additional safety measures include setting up classrooms to promote spacing between students and practising physical distancing outside of learning groups. 
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0045-001542,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No,
40,BC194,B.C.,Vancouver Coastal,2020-08-17 00:00:00,2020-08-17 00:00:00,Policy,Openings - education,"Who: Ministry of Education
What: Updated operational guidelines for school districts to ensure a consistent province-wide approach to keep schools safe. Masks are required for staff, middle and secondary students in high-traffic areas such as buses and in common areas such as hallways, or anytime outside of their learning group whenever physical distancing cannot be maintained. Elementary school students are not required to wear masks. Additional safety measures include setting up classrooms to promote spacing between students and practising physical distancing outside of learning groups. 
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0045-001542,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No,
41,BC198,B.C.,Interior,2020-08-26 00:00:00,2020-08-26 00:00:00,Policy,Openings - education,"Who: Ministry of Education
What: Published back-to-school plans for K-12 families for all 60 school districts; each school district plan follows the same provincial health and safety measures; school boards are given the flexibility to offer in-person and remote learning options 
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0057-001592,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No,
42,BC198,B.C.,Island,2020-08-26 00:00:00,2020-08-26 00:00:00,Policy,Openings - education,"Who: Ministry of Education
What: Published back-to-school plans for K-12 families for all 60 school districts; each school district plan follows the same provincial health and safety measures; school boards are given the flexibility to offer in-person and remote learning options 
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0057-001592,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No,
43,BC198,B.C.,Fraser,2020-08-26 00:00:00,2020-08-26 00:00:00,Policy,Openings - education,"Who: Ministry of Education
What: Published back-to-school plans for K-12 families for all 60 school districts; each school district plan follows the same provincial health and safety measures; school boards are given the flexibility to offer in-person and remote learning options 
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0057-001592,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No,
44,BC198,B.C.,Vancouver Coastal,2020-08-26 00:00:00,2020-08-26 00:00:00,Policy,Openings - education,"Who: Ministry of Education
What: Published back-to-school plans for K-12 families for all 60 school districts; each school district plan follows the same provincial health and safety measures; school boards are given the flexibility to offer in-person and remote learning options 
Effective until: ",https://news.gov.bc.ca/releases/2020EDUC0057-001592,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school,Provincial/territorial,No,
45,BC200,B.C.,Interior,2020-09-08 00:00:00,2020-09-08 00:00:00,Closures,Closures - non-essential services,"Who: Ministry of Health
What: Announced that all nightclubs and stand-alone banquet halls are closed until further notice
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,Nightlife
46,BC200,B.C.,Island,2020-09-08 00:00:00,2020-09-08 00:00:00,Closures,Closures - non-essential services,"Who: Ministry of Health
What: Announced that all nightclubs and stand-alone banquet halls are closed until further notice
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,Nightlife
47,BC200,B.C.,Fraser,2020-09-08 00:00:00,2020-09-08 00:00:00,Closures,Closures - non-essential services,"Who: Ministry of Health
What: Announced that all nightclubs and stand-alone banquet halls are closed until further notice
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,Nightlife
48,BC200,B.C.,Vancouver Coastal,2020-09-08 00:00:00,2020-09-08 00:00:00,Closures,Closures - non-essential services,"Who: Ministry of Health
What: Announced that all nightclubs and stand-alone banquet halls are closed until further notice
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,Nightlife
49,BC201,B.C.,Interior,2020-09-08 00:00:00,2020-09-08 00:00:00,Openings,Openings - non-essential services,"Who: Ministry of Health
What: Announced that all liquor sales in all bars, pubs and restaurants must stop by 10 p.m. 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,Nightlife
50,BC201,B.C.,Island,2020-09-08 00:00:00,2020-09-08 00:00:00,Openings,Openings - non-essential services,"Who: Ministry of Health
What: Announced that all liquor sales in all bars, pubs and restaurants must stop by 10 p.m. 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,Nightlife
51,BC201,B.C.,Fraser,2020-09-08 00:00:00,2020-09-08 00:00:00,Openings,Openings - non-essential services,"Who: Ministry of Health
What: Announced that all liquor sales in all bars, pubs and restaurants must stop by 10 p.m. 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,Nightlife
52,BC201,B.C.,Vancouver Coastal,2020-09-08 00:00:00,2020-09-08 00:00:00,Openings,Openings - non-essential services,"Who: Ministry of Health
What: Announced that all liquor sales in all bars, pubs and restaurants must stop by 10 p.m. 
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0049-001688,Not applicable,Provincial/territorial,No,Nightlife
53,BC203,B.C.,Interior,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - education,"Who: Ministry of Health
What: Opened public schools for the first day of in-person learning; student orientation held between September 10 and 11
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0051-001706,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school#orientation-week,Provincial/territorial,No,
54,BC203,B.C.,Island,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - education,"Who: Ministry of Health
What: Opened public schools for the first day of in-person learning; student orientation held between September 10 and 11
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0051-001706,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school#orientation-week,Provincial/territorial,No,
55,BC203,B.C.,Fraser,2020-09-10 00:00:00,2020-09-10 00:00:00,Openings,Openings - education,"Who: Ministry of Health
What: Opened public schools for the first day of in-person learning; student orientation held between September 10 and 11
Effective until: ",https://news.gov.bc.ca/releases/2020HLTH0051-001706,https://www2.gov.bc.ca/gov/content/education-training/k-12/covid-19-return-to-school#orientation-week,Provincial/territorial,No,
